Category,Name,Description,Location,When_to_Visit,Cultural_Significance
Festival,South by Southwest (SXSW),"Global conference and festival celebrating the convergence of film, music, and interactive media",Multiple venues downtown,March,Very High - Internationally recognized event that defines Austin's creative economy
Festival,Austin City Limits Music Festival,Major outdoor music festival spanning two weekends,Zilker Park,October,Very High - Showcases Austin's status as 'Live Music Capital of the World'
Festival,Blues on the Green,Free summer concert series,Zilker Park,Summer months (May-August),Medium - Represents Austin's commitment to accessible music
Festival,Austin Film Festival,Film festival and screenwriting conference,Various downtown venues,October,Medium - Celebrates storytelling through film
Festival,Eeyore's Birthday Party,"Quirky celebration with costumes, drum circles, and festivities",Pease District Park,Last Saturday in April,High - Emblematic of Austin's 'Keep It Weird' ethos
Festival,Fantastic Fest,Largest genre film festival in the US,Alamo Drafthouse South Lamar,September,Medium - Celebrates offbeat cinema and Austin's film culture
Festival,Pecan Street Festival,Biannual arts and crafts festival,East 6th Street (historic Pecan Street),Spring (May) and Fall (September),High - Longest-running arts festival in Austin
Festival,Rodeo Austin,Livestock show and rodeo with music performances,Travis County Expo Center,March,Medium - Connects Austin to Texas's western heritage
Festival,Austin Pride,LGBTQ+ celebration and parade,Downtown Austin,August,High - Major expression of Austin's inclusive identity
Landmark,Texas State Capitol,Pink granite statehouse larger than US Capitol,"1100 Congress Ave, Downtown",Year-round (free tours daily),High - Symbol of Texas government and history
Landmark,Barton Springs Pool,Natural spring-fed swimming pool,Zilker Park,Year-round (closed Thursdays for cleaning),Very High - Natural oasis central to Austin identity
Landmark,Congress Avenue Bridge,Home to largest urban bat colony in North America,Congress Ave over Lady Bird Lake,March-November at sunset (bat emergence),High - Unique natural phenomenon in urban setting
Landmark,The Driskill Hotel,Historic hotel built in 1886,"604 Brazos St, Downtown",Year-round,Medium - Architectural landmark representing Austin's past
Landmark,Mount Bonnell,Highest point in Austin with panoramic views,3800 Mount Bonnell Dr,Year-round (sunset popular),Medium - Historic natural viewpoint
Landmark,Stevie Ray Vaughan Statue,Bronze memorial to blues legend,Auditorium Shores,Year-round,Medium - Honors influential Austin musician
Landmark,Cathedral of Junk,Folk art structure built from discarded items,"4422 Lareina Dr, South Austin",Weekends by appointment,Medium - Quintessential 'Keep Austin Weird' attraction
Landmark,Umlauf Sculpture Garden,Outdoor museum featuring works of Charles Umlauf,605 Azie Morton Rd,Year-round (closed Mondays),Low - Serene cultural space
Landmark,Broken Spoke,Legendary honky-tonk dance hall,3201 S Lamar Blvd,Tuesday-Saturday evenings,High - Authentic Texas dance hall tradition
Cuisine,Breakfast Tacos,Austin's signature breakfast food,"Numerous taquerias citywide (Veracruz All Natural, Tacodeli)",Year-round (morning),Very High - Emblematic of Austin food culture
Cuisine,Texas Barbecue,Slow-smoked brisket and other meats,"Franklin Barbecue, La Barbecue, Terry Black's",Year-round (often sells out early),Very High - Central Texas BBQ tradition
Cuisine,Food Trucks,Mobile food vendors offering diverse cuisine,Multiple food truck parks citywide,Year-round,High - Key part of Austin's innovative food scene
Cuisine,Tex-Mex,Texas-style Mexican cuisine,"Matt's El Rancho, Maudie's, Chuy's",Year-round,High - Regional cuisine with deep Austin roots
Cuisine,Craft Beer,Local breweries and beer culture,"Austin Beerworks, Jester King, Zilker Brewing",Year-round,Medium - Important part of Austin's craft beverage scene
Cuisine,Queso,Melted cheese dip with tortilla chips,"Torchy's Tacos, Kerbey Lane Cafe, Magnolia Cafe",Year-round,High - Beloved local comfort food
Cuisine,Farm-to-Table,Restaurants highlighting local ingredients,"Odd Duck, Emmer & Rye, Dai Due",Year-round,Medium - Represents Austin's sustainable food values
Cuisine,Food Festivals,Events celebrating specific foods,"Hot Sauce Festival, Ice Cream Festival",Various dates throughout year,Medium - Community celebrations of food culture
Cuisine,Kolaches,Czech pastry popular throughout Central Texas,"Batch Craft Beer & Kolaches, Pearl's Place",Year-round (morning),Medium - Reflects Czech settler influence in Texas
Arts,Austin City Limits Live,Iconic music television show and venue,"The Moody Theater, 310 W Willie Nelson Blvd",Year-round (show tapings and concerts),Very High - Longest-running music TV show in history
Arts,Blanton Museum of Art,Largest university art museum in the US,University of Texas campus,Year-round (closed Mondays),High - Major fine art collection
Arts,HOPE Outdoor Gallery,Community-based arts initiative featuring street art,Now at Carson Creek Ranch (originally on Baylor St),Year-round,Medium - Representative of Austin's street art culture
Arts,The Contemporary Austin,Modern and contemporary art museum,Jones Center downtown and Laguna Gloria,Year-round (closed Mondays),Medium - Center for contemporary artistic expression
