Category,Name,Description,Location,When_to_Visit,Cultural_Significance
Festival,Spoleto Festival USA,17-day international performing arts festival,Various venues throughout historic district,Late May to early June,Very High - Premier arts event in the Southeast
Festival,Charleston Wine + Food,Culinary festival celebrating Lowcountry cuisine,Marion Square and venues citywide,Early March,High - Showcases Charleston's renowned food culture
Festival,Southeastern Wildlife Exposition,Wildlife art and conservation event,Various downtown venues,February,Medium - Region's largest wildlife art event
Festival,Charleston Fashion Week,Showcase of regional fashion designers,Marion Square,March,Medium - Platform for Southern style and design
Festival,MOJA Arts Festival,Celebration of African-American and Caribbean arts,Various venues citywide,Late September to early October,High - Important celebration of African-American heritage
Festival,Charleston Festival of Houses and Gardens,Tours of historic private homes and gardens,Historic District,March-April,High - Unique access to preserved historic properties
Festival,Lowcountry Oyster Festival,World's largest oyster festival,Boone Hall Plantation,January,Medium - Celebration of local seafood tradition
Festival,Charleston International Film Festival,Annual independent film showcase,Various theaters,November,Low - Growing platform for independent cinema
Festival,Holiday Festival of Lights,Drive-through light display with activities,James Island County Park,November-December,Medium - Beloved local holiday tradition
Landmark,Historic Charleston City Market,19th-century market complex with vendors,Meeting Street,Year-round (most vendors open daily),High - Commercial heart of historic district
Landmark,Rainbow Row,Series of colorful historic Georgian houses,East Bay Street,Year-round (exterior viewing only),High - Charleston's most photographed streetscape
Landmark,The Battery and White Point Garden,Historic defensive seawall and park,Southern tip of peninsula,Year-round,High - Scenic promenade with harbor views and monuments
Landmark,Waterfront Park,Park with iconic pineapple fountain,Concord Street,Year-round,Medium - Popular gathering place on Cooper River
Landmark,Fort Sumter,Historic fort where Civil War began,Charleston Harbor (accessible by boat),Year-round,High - Nationally significant Civil War site
Landmark,Magnolia Plantation and Gardens,Historic plantation with oldest public gardens,Ashley River Road,Year-round,High - One of America's oldest plantations with complex history
Landmark,Charleston Single House,Distinctive architectural style with side piazzas,Throughout historic district,Year-round (exterior viewing),High - Unique vernacular architecture
Landmark,Nathaniel Russell House,Neoclassical mansion with flying staircase,51 Meeting Street,Year-round (closed Mondays),Medium - Premier example of Federal architecture
Landmark,McLeod Plantation,Historic site focusing on enslaved people's experience,James Island,Year-round (closed Mondays),High - Educational site on slavery's legacy
Cuisine,Shrimp and Grits,Lowcountry staple of local shrimp over creamy grits,"Hominy Grill (closed), Husk, High Cotton",Year-round,Very High - Quintessential Charleston dish
Cuisine,She-Crab Soup,Rich crab soup with roe and sherry,"82 Queen, Peninsula Grill, S.N.O.B.","Year-round (best in crab season, spring-fall)",High - Distinctive Lowcountry specialty
Cuisine,Lowcountry Boil,"One-pot seafood feast with shrimp, corn, sausage","Bowens Island Restaurant, The Ordinary",Year-round,High - Traditional communal meal
Cuisine,Oysters,"Local oysters served roasted, fried, or raw","The Ordinary, Amen Street, Bowens Island",Months with 'R' (September-April),High - Essential Charleston seafood experience
Cuisine,Charleston Benne Wafers,Thin sesame seed cookies,"Market Street vendors, Olde Colony Bakery",Year-round,Medium - Historic African-influenced sweet
