Category,Name,Description,Location,When_to_Visit,Cultural_Significance
Festival,National Cherry Blossom Festival,Celebration of Japan's gift of cherry trees and spring's arrival,Tidal Basin and various locations,Late March to mid-April,Very High - DC's signature seasonal celebration
Festival,Smithsonian Folklife Festival,Living cultural exhibition on the National Mall,National Mall,Late June to early July,High - Showcases global and American cultural traditions
Festival,DC Jazz Festival,Citywide celebration of jazz music,Various venues throughout the city,June,Medium - Highlights DC's significant jazz heritage
Festival,Capital Pride,LGBTQ+ celebration with parade and festival,"Various locations, parade on 14th Street",June,High - Major expression of DC's inclusive values
Festival,Passport DC,Month-long international cultural awareness program,Embassies throughout the city,May,Medium - Reflects DC's unique diplomatic presence
Festival,H Street Festival,Massive street festival celebrating arts and culture,H Street NE Corridor,September,Medium - Showcases neighborhood revitalization
Festival,Fiesta DC,Latino festival celebrating Hispanic heritage,Pennsylvania Avenue NW,September,High - Honors Latino cultural contributions
Festival,Adams Morgan Day,Celebration of one of DC's most diverse neighborhoods,18th Street NW,September,Medium - Community expression of neighborhood identity
Festival,DC Black Film Festival,Showcase of films by and about Black people,Various theaters,August,Medium - Platform for diverse filmmaking voices
Landmark,National Mall,Open park with monuments and museums,Central Washington DC,Year-round (cherry blossoms in spring),Very High - America's front yard and civic gathering space
Landmark,Lincoln Memorial,Iconic marble monument honoring Abraham Lincoln,West end of National Mall,Year-round (less crowded at night),Very High - Symbol of national unity and civil rights
Landmark,U.S. Capitol,Seat of Congress with distinctive dome,East end of National Mall,Year-round (tours require advance reservation),Very High - Symbol of American democracy
Landmark,Washington Monument,555-foot marble obelisk,Center of National Mall,Year-round (timed tickets for observation deck),Very High - City's most distinctive structure
Landmark,White House,Official residence and office of the U.S. President,1600 Pennsylvania Avenue NW,Year-round (public tours require congressional request),Very High - Symbol of executive branch
Landmark,Vietnam Veterans Memorial,Black granite wall listing war casualties,North of Reflecting Pool,Year-round,High - Powerful memorial design that changed monument aesthetics
Landmark,National Museum of African American History and Culture,Smithsonian museum dedicated to African American life and history,Constitution Avenue NW,Year-round (timed entry passes),High - Newest Smithsonian highlighting Black American experience
Landmark,Library of Congress,World's largest library with Thomas Jefferson Building,1st Street SE,Year-round (closed Sundays),High - Repository of American knowledge and culture
Landmark,Frederick Douglass Historic Site,Home of the great abolitionist,Anacostia,Year-round,Medium - Preserves legacy of influential Black American leader
